# _tick,_time,train_seconds,step,mean_episode_return,mean_episode_step,total_loss,pg_loss,baseline_loss,entropy_loss,learner_queue_size
0,1640171669.6455677,10.0,2560,24.235523223876953,33.6953125,778.1913452148438,744.63037109375,37.968753814697266,-4.407796382904053,0
1,1640171672.2618499,15.0,5120,32.17488479614258,91.6195297241211,-1447.1219482421875,-2676.735595703125,1233.607666015625,-3.9939849376678467,0
2,1640171674.86752,15.0,7680,59.87855911254883,157.29922485351562,-660.9259643554688,-757.1183471679688,100.46879577636719,-4.276418685913086,1
3,1640171677.2140493,15.0,10240,67.99083709716797,217.78945922851562,915.5432739257812,853.712890625,66.35664367675781,-4.526271343231201,2
4,1640171679.5983338,20.1,12800,215.1985321044922,278.5785217285156,-828.9775390625,-929.081298828125,104.53623962402344,-4.4325079917907715,1
5,1640171681.998744,20.1,15360,113.8284912109375,331.68243408203125,165.92820739746094,164.31436157226562,6.132833957672119,-4.51897668838501,1
6,1640171684.2993212,25.1,17920,168.9324951171875,403.4722595214844,-903.4595336914062,-1035.94970703125,136.6776123046875,-4.187427997589111,2
7,1640171686.8060577,25.1,20480,102.63402557373047,430.708984375,-47.666683197021484,-73.40843200683594,30.10043716430664,-4.358687400817871,3
8,1640171689.2999988,30.1,23040,318.63214111328125,502.7769470214844,438.35418701171875,414.6371765136719,26.972980499267578,-3.2559802532196045,1
9,1640171691.7619112,30.1,25600,130.7418670654297,491.9609375,-86.0863037109375,-150.0062255859375,67.16899108886719,-3.2490696907043457,2
10,1640171694.1341283,35.1,28160,123.74909973144531,532.8839721679688,337.7157897949219,326.46368408203125,14.907489776611328,-3.655400037765503,2
11,1640171696.4331856,35.1,30720,171.5898895263672,646.9781494140625,-581.5342407226562,-693.346435546875,115.14079284667969,-3.3286049365997314,1
12,1640171698.5143795,40.1,33280,334.1611328125,638.7027587890625,126.84686279296875,114.80584716796875,15.618157386779785,-3.5771501064300537,1
13,1640171700.8161838,40.1,35840,313.0629577636719,702.2683715820312,306.1517028808594,292.6221008300781,17.252906799316406,-3.7233028411865234,3
14,1640171703.2411335,45.1,38400,795.3334350585938,700.6371459960938,-412.2650451660156,-472.45306396484375,63.93602752685547,-3.748014211654663,7
15,1640171705.1623952,45.1,40960,508.5995178222656,650.6098022460938,256.6789245605469,248.88307189941406,11.753829956054688,-3.9579856395721436,1
16,1640171707.6828275,50.1,43520,186.77789306640625,804.9343872070312,-440.3028564453125,-506.82928466796875,70.24102783203125,-3.7145888805389404,1
17,1640171710.045287,50.1,46080,373.3572692871094,728.6730346679688,-9.092445373535156,-15.92905330657959,10.740903854370117,-3.9042961597442627,2
18,1640171712.2376385,50.1,48640,249.1997528076172,785.1316528320312,561.0154418945312,525.4722900390625,39.23462677001953,-3.6914749145507812,3
19,1640171714.6462986,55.1,51200,29.161998748779297,797.6687622070312,-110.35910034179688,-134.2921905517578,27.740428924560547,-3.8073413372039795,5
20,1640171716.810165,55.1,53760,143.2563018798828,960.6019897460938,532.2510986328125,505.316162109375,30.971784591674805,-4.036881923675537,2
21,1640171719.342061,60.1,56320,580.1597290039062,945.2808837890625,-28.582992553710938,-54.643157958984375,30.005157470703125,-3.9449923038482666,4
22,1640171721.3688297,60.1,58880,393.4013671875,830.5765991210938,422.034912109375,402.4702453613281,23.945552825927734,-4.3809003829956055,4
23,1640171723.605626,65.1,61440,263.4759216308594,909.4367065429688,-363.2695007324219,-385.001220703125,26.007099151611328,-4.2754034996032715,0
24,1640171726.0047667,65.1,64000,348.47991943359375,903.9207153320312,369.7723083496094,352.71014404296875,21.415699005126953,-4.353557586669922,1
25,1640171728.5913966,70.1,66560,434.72613525390625,931.041015625,-282.9054260253906,-310.055419921875,31.308319091796875,-4.158316135406494,0
26,1640171730.9339037,70.1,69120,650.9178466796875,731.7312622070312,413.2504577636719,395.310302734375,22.260757446289062,-4.32057523727417,0
